id,name,uri
4DG4QKAPYM2l68MfWtUE8R,WILD,spotify:track:4DG4QKAPYM2l68MfWtUE8R
3OVZSTxoVzic5wWEHBzG1c,Run Run Blood,spotify:track:3OVZSTxoVzic5wWEHBzG1c
34C1j5mEsdf0cx5pdyEfwK,Chemicals,spotify:track:34C1j5mEsdf0cx5pdyEfwK
2UKoZ6eJ6X9gtjlXLXUojc,Gold To Glass,spotify:track:2UKoZ6eJ6X9gtjlXLXUojc
0wsfdPl7p3yKjQBmHQsaDn,Worry About Me (feat. blackbear),spotify:track:0wsfdPl7p3yKjQBmHQsaDn
0MLZAgKQKHbPsJ12qHS860,Haan Main Galat,spotify:track:0MLZAgKQKHbPsJ12qHS860
2ynP7vnLgHtZJy5wwM0FCM,Break Free,spotify:track:2ynP7vnLgHtZJy5wwM0FCM
7otCGmgp9h4CsR2LhwB6gt,Another Love,spotify:track:7otCGmgp9h4CsR2LhwB6gt
2OdpZeTpnbqPqBrclk2pib,Vor í Vaglaskógi,spotify:track:2OdpZeTpnbqPqBrclk2pib
3UfeTGC52kzMuiRA4KkZ5S,"Never Let You Down - From The ""Insurgent"" Soundtrack",spotify:track:3UfeTGC52kzMuiRA4KkZ5S
0dzKtre3whAJV2xiZrYMe1,Fuel to Fire,spotify:track:0dzKtre3whAJV2xiZrYMe1
6HhUJIZLRf91F8KJUiCH1b,Homeward Bound,spotify:track:6HhUJIZLRf91F8KJUiCH1b
2rf4HJG3NMDBlQrO4fu8Zn,Roll Me Through The Gates Of Hell,spotify:track:2rf4HJG3NMDBlQrO4fu8Zn
6A1j9xdYaugjiqdOaRbrXM,Toss a Coin to Your Witcher,spotify:track:6A1j9xdYaugjiqdOaRbrXM
0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),spotify:track:0dbTQYW3Ad1FTzIA9t90E8
1qM4vhLgS0XxywxoHV05lC,Love Me Now,spotify:track:1qM4vhLgS0XxywxoHV05lC
73hmUGQvCNlhDWzNPRvcx3,Goodbye,spotify:track:73hmUGQvCNlhDWzNPRvcx3
5shCqU2Fe67VwKwGQ1It6p,Sandy Freak,spotify:track:5shCqU2Fe67VwKwGQ1It6p
0maP0mAW9sxHzTfewAbqQx,Screws Loose (feat. Stacey Michelle),spotify:track:0maP0mAW9sxHzTfewAbqQx
167hmoIZDNPKxV68gRIV5D,Enseñame a Soñar 2.0 - Official Remix,spotify:track:167hmoIZDNPKxV68gRIV5D
6xtTbmgvh4Bx6ezPNRYDuR,Behind My Back,spotify:track:6xtTbmgvh4Bx6ezPNRYDuR
6Qp1DSekiuxHbFoSsg9JIk,I Do,spotify:track:6Qp1DSekiuxHbFoSsg9JIk
5o4znEHwozOHIgHoWAllnr,Mama's Gun,spotify:track:5o4znEHwozOHIgHoWAllnr
5C5gvDZsl6d8bh89URfKHr,Pork Soda,spotify:track:5C5gvDZsl6d8bh89URfKHr
5RUUkFNqH3GRKHg1xjprOb,Old Me,spotify:track:5RUUkFNqH3GRKHg1xjprOb
2AVL6hxC2kgvGb3CFKiqWJ,Show Me The Way,spotify:track:2AVL6hxC2kgvGb3CFKiqWJ
2X08vXJHBRCXsQyFdaQGPT,Keep It Down,spotify:track:2X08vXJHBRCXsQyFdaQGPT
4GBK1M9t8VYUAdEJ8oiVxQ,Light Ya Fire,spotify:track:4GBK1M9t8VYUAdEJ8oiVxQ
4wlQIeykKGoAm8KPwLzFK5,Leaving After Midnight,spotify:track:4wlQIeykKGoAm8KPwLzFK5
5cdd0l0Juhk6tK1v0V0iuF,Pleasure,spotify:track:5cdd0l0Juhk6tK1v0V0iuF
2DlDgDM7wNOjfJhN90rWmv,Electric Soul,spotify:track:2DlDgDM7wNOjfJhN90rWmv
